family	genus	species	CAAB
Balistidae/Triggerfishes	Balistapus	undulatus/Orange-lined triggerfish	Fishbase:6025
Chaetodontidae/Butterflyfishes	Chaetodon	lunulatus/Oval butterflyfish	Fishbase:14300
Balistidae/Triggerfishes	Melichthys	vidua/Pinktail triggerfish	Fishbase:5838
Labridae/Wrasses	Thalassoma	amblycephalum/Blunthead wrasse	Fishbase:5642
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	pyroferus/Mimic surgeonfish	Fishbase:4742
Pomacentridae/Damselfishes	Dascyllus	aruanus/Whitetail dascyllus	Fishbase:5110
Chaetodontidae/Butterflyfishes	Chaetodon	kleinii/Sunburst butterflyfish	Fishbase:5446
Anthiadidae/Fairy basslets or Streamer basses	Nemanthias	dispar/Peach fairy basslet	Fishbase:7454
Chaetodontidae/Butterflyfishes	Forcipiger	longirostris/Longnose butterflyfish	Fishbase:5585
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	bilineata/Two-lined monocle bream	Fishbase:5885
Pomacentridae/Damselfishes	Dascyllus	melanurus/Blacktail humbug	Fishbase:5111
Pomacentridae/Damselfishes	Chromis	fumea/Smokey chromis	Fishbase:10842
Pomacentridae/Damselfishes	Neoglyphidodon	melas/Bowtie damselfish	Fishbase:5707
Labridae/Wrasses	Scarus	rivulatus/Rivulated parrotfish	Fishbase:4969
Pomacentridae/Damselfishes	Pomacentrus	reidi/Reid's damsel	Fishbase:5728
Labridae/Wrasses	Labroides	dimidiatus/Bluestreak cleaner wrasse	Fishbase:5459
Labridae/Wrasses	Scarus	flavipectoralis/Yellowfin parrotfish	Fishbase:4968
Pomacentridae/Damselfishes	Chrysiptera	rex/King demoiselle	Fishbase:5699
Mullidae/Goatfishes	Parupeneus	multifasciatus/Manybar goatfish	Fishbase:5993
Mullidae/Goatfishes	Mulloidichthys	flavolineatus/Yellowstripe goatfish	Fishbase:5983
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	nigrofuscus/Brown surgeonfish	Fishbase:4739
Caesionidae/Fusiliers	Pterocaesio	pisang/Banana fusilier	Fishbase:936
Pomacentridae/Damselfishes	Chrysiptera	parasema/Goldtail demoiselle	Fishbase:12448
Pomacentridae/Damselfishes	Hemiglyphidodon	plagiometopon/Lagoon damselfish	Fishbase:5487
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	nigroris/Bluelined surgeonfish	Fishbase:4738
Blenniidae/Combtooth blennies	Meiacanthus	vicinus/Sulawesi fangblenny	Fishbase:46632
Pomacanthidae/Angelfishes	Centropyge	vrolikii/Pearlscale angelfish	Fishbase:5447
Balistidae/Triggerfishes	Sufflamen	chrysopterum/Halfmoon triggerfish	Fishbase:5842
Mullidae/Goatfishes	Mulloidichthys	vanicolensis/Yellowfin goatfish	Fishbase:5984
Pomacentridae/Damselfishes	Pycnochromis	agilis/Agile chromis	Fishbase:69154
Siganidae/Rabbitfishes	Siganus	doliatus/Barred spinefoot	Fishbase:4623
Lutjanidae/Snappers	Macolor	macularis/Midnight snapper	Fishbase:186
Pomacanthidae/Angelfishes	Centropyge	bicolor/Bicolor angelfish	Fishbase:5454
Labridae/Wrasses	Scarus	dimidiatus/Yellowbarred parrotfish	Fishbase:4973
Labridae/Wrasses	Scarus	psittacus/Common parrotfish	Fishbase:5553
Chaetodontidae/Butterflyfishes	Chaetodon	melannotus/Blackback butterflyfish	Fishbase:5566
Pomacentridae/Damselfishes	Pycnochromis	amboinensis/Ambon chromis	Fishbase:5671
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	tristis/Indian Ocean mimic surgeonfish	Fishbase:12782
Pomacentridae/Damselfishes	Abudefduf	vaigiensis/Indo-Pacific sergeant	Fishbase:6630
Pomacentridae/Damselfishes	Pomacentrus	alexanderae/Alexander's damsel	Fishbase:6920
Labridae/Wrasses	Scarus	niger/Dusky parrotfish	Fishbase:5550
Chaetodontidae/Butterflyfishes	Chaetodon	baronessa/Eastern triangular butterflyfish	Fishbase:5558
Mullidae/Goatfishes	Parupeneus	barberinus/Dotdash goatfish	Fishbase:5987
Pomacentridae/Damselfishes	Amblyglyphidodon	aureus/Golden damselfish	Fishbase:5690
Pomacanthidae/Angelfishes	Pygoplites	diacanthus/Regal angelfish	Fishbase:6572
Caesionidae/Fusiliers	Caesio	teres/Yellow and blueback fusilier	Fishbase:923
Pomacentridae/Damselfishes	Pomacentrus	chrysurus/Whitetail damsel	Fishbase:5721
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	ciliata/Saw-jawed monocle bream	Fishbase:5876
Pomacentridae/Damselfishes	Dischistodus	melanotus/Blackvent damsel	Fishbase:5703
Lutjanidae/Snappers	Lutjanus	decussatus/Checkered snapper	Fishbase:1428
Chaetodontidae/Butterflyfishes	Chaetodon	vagabundus/Vagabond butterflyfish	Fishbase:5582
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Acanthurus	grammoptilus/Finelined surgeonfish	Fishbase:4749
Labridae/Wrasses	Scarus	spinus/Greensnout parrotfish	Fishbase:4974
Epinephelidae/Groupers	Cephalopholis	argus/Peacock hind	Fishbase:6396
Labridae/Wrasses	Scarus	schlegeli/Yellowband parrotfish	Fishbase:4975
Labridae/Wrasses	Labropsis	xanthura/Yellowtail tubelip	Fishbase:5108
Caesionidae/Fusiliers	Caesio	lunaris/Lunar fusilier	Fishbase:920
Chaetodontidae/Butterflyfishes	Heniochus	varius/Horned bannerfish	Fishbase:5592
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	affinis/Peters' monocle bream	Fishbase:5890
Labridae/Wrasses	Hemigymnus	melapterus/Blackeye thicklip	Fishbase:5636
Pomacentridae/Damselfishes	Abudefduf	sexfasciatus/Scissortail sergeant	Fishbase:5688
Labridae/Wrasses	Halichoeres	prosopeion/Twotone wrasse	Fishbase:4862
Chaetodontidae/Butterflyfishes	Chaetodon	ulietensis/Pacific double-saddle butterflyfish	Fishbase:5580
Pomacentridae/Damselfishes	Pomacentrus	littoralis/Smoky damsel	Fishbase:12493
Caesionidae/Fusiliers	Caesio	cuning/Redbelly yellowtail fusilier	Fishbase:919
Labridae/Wrasses	Halichoeres	hortulanus/Checkerboard wrasse	Fishbase:12663
Chaetodontidae/Butterflyfishes	Chaetodon	lunula/Raccoon butterflyfish	Fishbase:5565
Pomacentridae/Damselfishes	Amphiprion	clarkii/Yellowtail clownfish	Fishbase:5448
Pomacentridae/Damselfishes	Dischistodus	pseudochrysopoecilus/Monarch damsel	Fishbase:8242
Pomacentridae/Damselfishes	Pomacentrus	nigromanus/Goldback damsel	Fishbase:5725
Chaetodontidae/Butterflyfishes	Forcipiger	flavissimus/Forcepsfish	Fishbase:5584
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Zebrasoma	velifer/Sailfin tang	Fishbase:1266
Pomacentridae/Damselfishes	Acanthochromis	polyacanthus/Spiny chromis	Fishbase:6655
Epinephelidae/Groupers	Cephalopholis	urodeta/Darkfin hind	Fishbase:6456
Chaetodontidae/Butterflyfishes	Heniochus	chrysostomus/Pennant bannerfish	Fishbase:5589
Nemipteridae/Threadfin breams, Whiptail breams	Scolopsis	temporalis/Bald-spot monocle bream	Fishbase:5880
